respid,state,state_name,usr,urbsurb_rural,gender,locations_genders,int_freq,Use_of_Internet,smartphone,computer,both_sp_and_comp,tablet,age,marital,education,employment,race,income,hh,homeintspeed,useintoccasionally
101387,39,OH,S,US,male,4,2,Several times a day,yes,yes,yes,yes,59,3,5,3,1,8,1,2,1
101582,39,OH,S,US,male,4,1,Almost constantly,yes,yes,yes,yes,55,1,6,1,1,9,3,2,1
100132,39,OH,U,US,male,4,2,Several times a day,yes,yes,yes,yes,56,1,6,1,1,8,6,2,1
100062,39,OH,S,US,male,4,2,Several times a day,yes,yes,yes,no,74,1,6,2,1,8,1,2,1
101229,39,OH,S,US,male,4,2,Several times a day,yes,yes,yes,no,61,3,3,6,1,2,1,2,1
100362,40,OK,S,US,male,4,2,Several times a day,yes,yes,yes,yes,60,1,5,1,1,8,3,2,1
334,40,OK,S,US,male,4,4,Several times a week,yes,yes,yes,no,70,1,7,3,1,2,1,2,1
100210,41,OR,S,US,male,4,3,~1x a day,yes,yes,yes,yes,63,1,5,1,2,8,2,2,1
101308,41,OR,S,US,male,4,2,Several times a day,yes,yes,yes,yes,60,2,7,3,1,8,2,2,1
43,42,PA,S,US,male,4,1,Almost constantly,yes,yes,yes,yes,71,1,6,3,1,9,2,2,1
101094,42,PA,S,US,male,4,1,Almost constantly,yes,yes,yes,yes,66,3,7,1,1,9,1,2,1
101725,42,PA,S,US,male,4,2,Several times a day,yes,yes,yes,yes,64,1,6,3,1,3,2,2,1
101559,44,RI,U,US,male,4,2,Several times a day,yes,yes,yes,yes,55,1,3,1,1,7,2,2,1
101277,45,SC,U,US,male,4,2,Several times a day,yes,yes,yes,yes,62,1,6,1,1,8,2,2,1
100106,46,SD,S,US,male,4,2,Several times a day,yes,yes,yes,yes,73,1,3,3,1,8,2,2,1
347,47,TN,S,US,male,4,2,Several times a day,yes,yes,yes,yes,60,6,7,5,1,99,1,2,1
101224,47,TN,U,US,male,4,2,Several times a day,yes,yes,yes,yes,56,1,4,1,1,8,3,2,1
209,47,TN,S,US,male,4,2,Several times a day,yes,yes,yes,no,77,1,8,3,1,9,2,2,1
100942,47,TN,U,US,male,4,2,Several times a day,yes,yes,yes,no,78,2,8,3,1,8,2,2,1
100687,48,TX,S,US,male,4,2,Several times a day,yes,yes,yes,yes,69,1,7,3,1,8,2,3,1
101017,48,TX,S,US,male,4,4,Several times a week,yes,yes,yes,yes,72,1,4,1,1,8,2,2,1
34,48,TX,U,US,male,4,2,Several times a day,yes,yes,yes,yes,61,1,7,1,1,8,2,2,1
127,48,TX,U,US,male,4,2,Several times a day,yes,yes,yes,yes,65,1,6,3,2,3,5,2,1
100226,48,TX,U,US,male,4,2,Several times a day,yes,yes,yes,yes,70,1,4,3,7,6,2,2,1
101686,48,TX,U,US,male,4,2,Several times a day,yes,yes,yes,yes,59,1,6,1,1,6,3,2,1
300100,48,TX,U,US,male,4,1,Almost constantly,yes,yes,yes,yes,61,1,3,1,1,9,2,2,1
100372,48,TX,S,US,male,4,1,Almost constantly,yes,yes,yes,no,58,1,7,1,1,9,3,2,1
100836,48,TX,U,US,male,4,2,Several times a day,yes,yes,yes,no,73,1,6,3,1,7,2,2,1
100201,49,UT,S,US,male,4,1,Almost constantly,yes,yes,yes,yes,59,6,6,1,1,8,1,2,1
101451,49,UT,S,US,male,4,2,Several times a day,yes,yes,yes,yes,61,1,3,5,1,9,2,2,1
100206,49,UT,S,US,male,4,2,Several times a day,yes,yes,yes,no,75,1,7,3,1,9,2,3,1
100044,51,VA,S,US,male,4,1,Almost constantly,yes,yes,yes,yes,61,1,6,1,1,9,4,2,1
100269,51,VA,S,US,male,4,2,Several times a day,yes,yes,yes,yes,56,4,4,3,1,7,4,3,1
100842,51,VA,S,US,male,4,2,Several times a day,yes,yes,yes,yes,60,1,7,3,1,9,4,2,1
100004,51,VA,S,US,male,4,2,Several times a day,yes,yes,yes,no,61,4,4,2,1,2,2,2,1
100296,51,VA,S,US,male,4,3,~1x a day,yes,yes,yes,no,79,1,6,3,1,6,2,2,1
100814,51,VA,S,US,male,4,2,Several times a day,yes,yes,yes,no,59,1,7,1,1,8,2,2,1
101227,51,VA,S,US,male,4,2,Several times a day,yes,yes,yes,no,72,1,7,3,1,7,2,2,1
100092,51,VA,U,US,male,4,1,Almost constantly,yes,yes,yes,no,70,4,2,3,1,4,2,2,1
249,53,WA,S,US,male,4,2,Several times a day,yes,yes,yes,yes,59,1,4,3,1,7,3,2,1
101053,53,WA,S,US,male,4,3,~1x a day,yes,yes,yes,yes,64,1,3,3,1,7,2,2,1
101417,53,WA,S,US,male,4,1,Almost constantly,yes,yes,yes,yes,63,3,5,1,1,3,2,2,1
101608,53,WA,S,US,male,4,2,Several times a day,yes,yes,yes,yes,70,1,7,3,1,8,2,2,1
101653,53,WA,S,US,male,4,2,Several times a day,yes,yes,yes,yes,69,1,6,3,1,7,2,2,1
